국세청_대분류코드,국세청_대분류,국세청_중분류코드,국세청_중분류,국세청_소분류코드,국세청_소분류,KSIC10_코드,KSIC10_대분류코드,KSIC10_대분류,KSIC10_중분류코드,KSIC10_중분류,KSIC10_소분류코드,KSIC10_소분류,KSIC9_코드,KSIC9_항목명,산업명,IPC_CODE
A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,1110.0,A,"농업, 임업 및 어업",1.0,농업,11.0,작물 재배업,1110.0,곡물 및 기타 식량 작물 재배업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,1212.0,A,"농업, 임업 및 어업",1.0,농업,12.0,축산업,1212.0,육우 사육업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,1420.0,A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,1420.0,축산 관련 서비스업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,14.0,작물재배 및 축산 복합농업,1300.0,A,"농업, 임업 및 어업",1.0,농업,13.0,작물재배 및 축산 복합농업,1300.0,작물재배 및 축산 복합농업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",1.0,농업,15.0,수렵 및 관련 서비스업,1500.0,A,"농업, 임업 및 어업",1.0,농업,15.0,수렵 및 관련 서비스업,1500.0,수렵 및 관련 서비스업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",2.0,임업,20.0,임업,2011.0,A,"농업, 임업 및 어업",2.0,임업,20.0,임업,2011.0,임업용 종묘 생산업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",5.0,어업,51.0,어로 어업,3112.0,A,"농업, 임업 및 어업",3.0,어업,31.0,어로 어업,3112.0,연근해 어업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
A,"농업, 임업 및 어업",5.0,어업,52.0,양식어업 및 어업관련 서비스업,3211.0,A,"농업, 임업 및 어업",3.0,어업,32.0,양식어업 및 어업관련 서비스업,3211.0,해면 양식 어업,농림어업,IC = (A01B-027* or A01B-002* or A01C* or A01D* or A01G* or A01H* or A01K*)
B,광업,10.0,"석탄, 원유 및 천연가스 광업",101.0,석탄 광업,5100.0,B,광업,5.0,"석탄, 원유 및 천연가스 광업",51.0,석탄 광업,5100.0,석탄 광업,광업,IC = (C22B* or E21D*)
B,광업,10.0,비금속광물 광업; 연료용 제외,101.0,기타 비금속광물 광업,7290.0,B,광업,7.0,비금속광물 광업; 연료용 제외,72.0,기타 비금속광물 광업,7290.0,그 외 기타 비금속 광물 광업,광업,IC = (C22B* or E21D*)
B,광업,13.0,금속 광업,131.0,철 광업,6100.0,B,광업,6.0,금속 광업,61.0,철 광업,6100.0,철 광업,광업,IC = (C22B* or E21D*)
B,광업,13.0,금속 광업,131.0,비철금속 광업,6200.0,B,광업,6.0,금속 광업,62.0,비철금속 광업,6210.0,우라늄 및 토륨 광업,광업,IC = (C22B* or E21D*)
B,광업,14.0,비금속광물 광업; 연료용 제외,141.0,토사석 광업,7121.0,B,광업,7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,7121.0,건설용 석재 채굴업,광업,IC = (C22B* or E21D*)
B,광업,14.0,"석탄, 원유 및 천연가스 광업",142.0,원유 및 천연가스 채굴업,5200.0,B,광업,5.0,"석탄, 원유 및 천연가스 광업",52.0,원유 및 천연가스 채굴업,5200.0,원유 및 천연가스 채굴업,광업,IC = (C22B* or E21D*)
B,광업,14.0,광업 지원 서비스업,142.0,광업 지원 서비스업,8000.0,B,광업,8.0,광업 지원 서비스업,80.0,광업 지원 서비스업,8010.0,원유 및 천연가스 채굴관련 서비스업,광업,IC = (C22B* or E21D*)
C,제조업,15.0,식료품 제조업,151.0,"도축, 육류 가공 및 저장 처리업",10111.0,C,제조업,10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",10110.0,도축업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,151.0,수산물 가공 및 저장 처리업,10212.0,C,제조업,10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,10212.0,수산동물 건조 및 염장품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,151.0,"과실, 채소 가공 및 저장 처리업",10301.0,C,제조업,10.0,식료품 제조업,103.0,"과실, 채소 가공 및 저장 처리업",10301.0,과실 및 채소 절임식품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,151.0,동물성 및 식물성 유지 제조업,10402.0,C,제조업,10.0,식료품 제조업,104.0,동물성 및 식물성 유지 제조업,10402.0,식물성 유지 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,152.0,낙농제품 및 식용 빙과류 제조업,10501.0,C,제조업,10.0,식료품 제조업,105.0,낙농제품 및 식용 빙과류 제조업,10501.0,액상시유 및 기타 낙농제품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,153.0,"곡물 가공품, 전분 및 전분제품 제조업",10619.0,C,제조업,10.0,식료품 제조업,106.0,"곡물 가공품, 전분 및 전분제품 제조업",10619.0,기타 곡물 가공품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,153.0,동물용 사료 및 조제식품 제조업,10802.0,C,제조업,10.0,식료품 제조업,108.0,동물용 사료 및 조제식품 제조업,10800.0,동물용 사료 및 조제식품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,식료품 제조업,153.0,기타 식품 제조업,10751.0,C,제조업,10.0,식료품 제조업,107.0,기타 식품 제조업,10798.0,도시락 및 식사용 조리식품 제조업,식료품 제조업,IC = (A21D* or A23B* or A23C* or A23D* or A23F* or A23G* or A23J* or A23K* or A23L* or A23P* or C12J* or C13B* or C13K*)
C,제조업,15.0,음료 제조업,155.0,알코올 음료 제조업,11121.0,C,제조업,11.0,음료 제조업,111.0,알코올 음료 제조업,11121.0,주정 제조업,음료제조업,IC = (C12C* or C12F* or C12G* or C12H*)
C,제조업,15.0,음료 제조업,155.0,비알코올 음료 및 얼음 제조업,11209.0,C,제조업,11.0,음료 제조업,112.0,비알코올 음료 및 얼음 제조업,11209.0,기타 비알코올음료 제조업,음료제조업,IC = (C12C* or C12F* or C12G* or C12H*)
C,제조업,16.0,담배 제조업,160.0,담배 제조업,12000.0,C,제조업,12.0,담배 제조업,120.0,담배 제조업,12001.0,담배 재건조업,담배제조업,IC = (A24B* or A24D* or A24F*)
C,제조업,17.0,섬유제품 제조업; 의복 제외,171.0,방적 및 가공사 제조업,13103.0,C,제조업,13.0,섬유제품 제조업; 의복 제외,131.0,방적 및 가공사 제조업,13103.0,화학섬유 방적업,섬유제품 제조업 :의복제외,IC = (D04D* or D04G* or D04H* or D06C* or D06J* or D06M* or D06N* or D06P* or D06Q*)
C,제조업,17.0,섬유제품 제조업; 의복 제외,171.0,직물 직조 및 직물제품 제조업,13213.0,C,제조업,13.0,섬유제품 제조업; 의복 제외,132.0,직물 직조 및 직물제품 제조업,13213.0,화학섬유 직물직조업,섬유제품 제조업 :의복제외,IC = (D04D* or D04G* or D04H* or D06C* or D06J* or D06M* or D06N* or D06P* or D06Q*)
C,제조업,17.0,섬유제품 제조업; 의복 제외,171.0,"섬유제품 염색, 정리 및 마무리 가공업",13402.0,C,제조업,13.0,섬유제품 제조업; 의복 제외,134.0,"섬유제품 염색, 정리 및 마무리 가공업",13402.0,직물 및 편조원단 염색 가공업,섬유제품 제조업 :의복제외,IC = (D04D* or D04G* or D04H* or D06C* or D06J* or D06M* or D06N* or D06P* or D06Q*)
C,제조업,17.0,자동차 및 트레일러 제조업,172.0,자동차 신품 부품 제조업,30393.0,C,제조업,30.0,자동차 및 트레일러 제조업,303.0,자동차 신품 부품 제조업,32011.0,운송장비용 의자 제조업,자동차 제조업,IC = (B60B* or B60D* or B60F* or B60G* or B60H* or B60J* or B60K* or B60N* or B60P* or B60R* or B60T* or B60W* or B62D* or E05F* or F02M* or F02N* or F02P* or F16J* or G05G* or (B60L* not (B60L-013*)) or (B60S* not (B60S-003*)))
C,제조업,17.0,섬유제품 제조업; 의복 제외,172.0,기타 섬유제품 제조업,13910.0,C,제조업,13.0,섬유제품 제조업; 의복 제외,139.0,기타 섬유제품 제조업,13910.0,"카펫, 마루덮개 및 유사제품 제조업",섬유제품 제조업 :의복제외,IC = (D04D* or D04G* or D04H* or D06C* or D06J* or D06M* or D06N* or D06P* or D06Q*)
C,제조업,17.0,"의복, 의복 액세서리 및 모피제품 제조업",173.0,편조의복 제조업,14300.0,C,제조업,14.0,"의복, 의복 액세서리 및 모피제품 제조업",143.0,편조의복 제조업,14300.0,편조의복 제조업,"의복, 의복 액세서리 및 모피제품 제조업",IC = (A41B* or A41C* or A41D* or A41F* or A42C-005* or (A42B* not (A42B-003*)))
C,제조업,17.0,섬유제품 제조업; 의복 제외,173.0,편조 원단 제조업,13300.0,C,제조업,13.0,섬유제품 제조업; 의복 제외,133.0,편조 원단 제조업,13310.0,편조원단 제조업,섬유제품 제조업 :의복제외,IC = (D04D* or D04G* or D04H* or D06C* or D06J* or D06M* or D06N* or D06P* or D06Q*)
C,제조업,17.0,"의복, 의복 액세서리 및 모피제품 제조업",173.0,의복 액세서리 제조업,14411.0,C,제조업,14.0,"의복, 의복 액세서리 및 모피제품 제조업",144.0,의복 액세서리 제조업,14411.0,스타킹 및 기타양말 제조업,"의복, 의복 액세서리 및 모피제품 제조업",IC = (A41B* or A41C* or A41D* or A41F* or A42C-005* or (A42B* not (A42B-003*)))
C,제조업,18.0,"의복, 의복 액세서리 및 모피제품 제조업",181.0,봉제의복 제조업,14111.0,C,제조업,14.0,"의복, 의복 액세서리 및 모피제품 제조업",141.0,봉제의복 제조업,14111.0,남자용 정장 제조업,"의복, 의복 액세서리 및 모피제품 제조업",IC = (A41B* or A41C* or A41D* or A41F* or A42C-005* or (A42B* not (A42B-003*)))
C,제조업,18.0,"의복, 의복 액세서리 및 모피제품 제조업",182.0,모피제품 제조업,14200.0,C,제조업,14.0,"의복, 의복 액세서리 및 모피제품 제조업",142.0,모피제품 제조업,14202.0,천연 모피제품 제조업,"의복, 의복 액세서리 및 모피제품 제조업",IC = (A41B* or A41C* or A41D* or A41F* or A42C-005* or (A42B* not (A42B-003*)))
C,제조업,19.0,"가죽, 가방 및 신발 제조업",191.0,"가죽, 가방 및 유사 제품 제조업",15110.0,C,제조업,15.0,"가죽, 가방 및 신발 제조업",151.0,"가죽, 가방 및 유사 제품 제조업",14201.0,원모피 가공업,"가죽, 가방 및 신발제조업",IC = (A43B* or A43C* or A45C* or B68B* or B68C*)
C,제조업,19.0,"가죽, 가방 및 신발 제조업",192.0,신발 및 신발 부분품 제조업,15211.0,C,제조업,15.0,"가죽, 가방 및 신발 제조업",152.0,신발 및 신발 부분품 제조업,15211.0,구두류 제조업,"가죽, 가방 및 신발제조업",IC = (A43B* or A43C* or A45C* or B68B* or B68C*)
C,제조업,20.0,목재 및 나무제품 제조업; 가구 제외,201.0,제재 및 목재 가공업,16101.0,C,제조업,16.0,목재 및 나무제품 제조업; 가구 제외,161.0,제재 및 목재 가공업,16101.0,일반 제재업,목재 및 나무제품제조업; 가구제외,IC = (A44C-023* or B27D* or B27K* or B27H* or B27M* or B27N* or E04G*)
C,제조업,20.0,목재 및 나무제품 제조업; 가구 제외,202.0,나무제품 제조업,16212.0,C,제조업,16.0,목재 및 나무제품 제조업; 가구 제외,162.0,나무제품 제조업,16212.0,강화 및 재생 목재 제조업,목재 및 나무제품제조업; 가구제외,IC = (A44C-023* or B27D* or B27K* or B27H* or B27M* or B27N* or E04G*)
C,제조업,20.0,목재 및 나무제품 제조업; 가구 제외,202.0,코르크 및 조물 제품 제조업,16300.0,C,제조업,16.0,목재 및 나무제품 제조업; 가구 제외,163.0,코르크 및 조물 제품 제조업,16301.0,코르크 제품 제조업,목재 및 나무제품제조업; 가구제외,IC = (A44C-023* or B27D* or B27K* or B27H* or B27M* or B27N* or E04G*)
C,제조업,21.0,"펄프, 종이 및 종이제품 제조업",210.0,"펄프, 종이 및 판지 제조업",17121.0,C,제조업,17.0,"펄프, 종이 및 종이제품 제조업",171.0,"펄프, 종이 및 판지 제조업",17121.0,신문용지 제조업,"펄프, 종이 및 종이제품 제조업",IC = (B42F* or D21C* or D21H* or D21J*)
C,제조업,21.0,"펄프, 종이 및 종이제품 제조업",210.0,"골판지, 종이 상자 및 종이 용기 제조업",17211.0,C,제조업,17.0,"펄프, 종이 및 종이제품 제조업",172.0,"골판지, 종이 상자 및 종이 용기 제조업",17210.0,골판지 및 골판지 상자 제조업,"펄프, 종이 및 종이제품 제조업",IC = (B42F* or D21C* or D21H* or D21J*)
C,제조업,21.0,"펄프, 종이 및 종이제품 제조업",210.0,기타 종이 및 판지 제품 제조업,17909.0,C,제조업,17.0,"펄프, 종이 및 종이제품 제조업",179.0,기타 종이 및 판지 제품 제조업,17909.0,그 외 기타 종이 및 판지 제품 제조업,"펄프, 종이 및 종이제품 제조업",IC = (B42F* or D21C* or D21H* or D21J*)
C,제조업,22.0,인쇄 및 기록매체 복제업,222.0,인쇄 및 인쇄관련 산업,18111.0,C,제조업,18.0,인쇄 및 기록매체 복제업,181.0,인쇄 및 인쇄관련 산업,18111.0,경 인쇄업,인쇄 및 기록매체복제업,IC = (B41M* or B42D*)
C,제조업,22.0,인쇄 및 기록매체 복제업,223.0,기록매체 복제업,18200.0,C,제조업,18.0,인쇄 및 기록매체 복제업,182.0,기록매체 복제업,18200.0,기록매체 복제업,인쇄 및 기록매체복제업,IC = (B41M* or B42D*)
C,제조업,23.0,"코크스, 연탄 및 석유정제품 제조업",231.0,코크스 및 연탄 제조업,19101.0,C,제조업,19.0,"코크스, 연탄 및 석유정제품 제조업",191.0,코크스 및 연탄 제조업,19101.0,코크스 및 관련 제품 제조업,"코크스, 연탄 및 석유정제품 제조업",IC = (C10G* or C10L*)
C,제조업,23.0,"코크스, 연탄 및 석유정제품 제조업",232.0,석유 정제품 제조업,19210.0,C,제조업,19.0,"코크스, 연탄 및 석유정제품 제조업",192.0,석유 정제품 제조업,19210.0,원유 정제처리업,"코크스, 연탄 및 석유정제품 제조업",IC = (C10G* or C10L*)
C,제조업,23.0,화학 물질 및 화학제품 제조업; 의약품 제외,232.0,기초 화학물질 제조업,20129.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,201.0,기초 화학물질 제조업,20129.0,기타 기초 무기 화학물질 제조업,기초 화학물질제조업,IC = (C01C* or C01D* or C01F* or C01G* or C07B* or C07C* or C07F* or C07G* or C07H* or C09B* or C09C* or C10B* or C10C* or C10H* or C10J* or C10K* or C25B* or G21G* or G21J*)
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,241.0,"비료, 농약 및 살균ㆍ살충제 제조업",20312.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,203.0,"비료, 농약 및 살균ㆍ살충제 제조업",20202.0,복합비료 제조업,비료 및 질소 화학물 제조업,IC = (C05B* or C05C* or C05D* or C05F* or C05G*)
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,241.0,합성고무 및 플라스틱 물질 제조업,20201.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,202.0,합성고무 및 플라스틱 물질 제조업,20301.0,합성고무 제조업,합성고무 및 플라스틱 물질 제조업,IC = (C08B* or C08F* or C08G* or C08J* or C08K* or C08L*)
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,242.0,기타 화학제품 제조업,20413.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,204.0,기타 화학제품 제조업,20423.0,인쇄잉크 제조업,"잉크, 페인트 코팅제 및 유사제품 제조업",IC = (C09D*)
C,제조업,24.0,의료용 물질 및 의약품 제조업,242.0,의약품 제조업,21210.0,C,제조업,21.0,의료용 물질 및 의약품 제조업,212.0,의약품 제조업,21210.0,완제 의약품 제조업,의료용 물질 및 의약품 제조업,IC = (A61P* or C07D* or C07J* or C07K* or C12N* or C12P* or C12Q* or C12R* or (A61K* not (A61K-008*)))
C,제조업,24.0,의료용 물질 및 의약품 제조업,242.0,기초 의약 물질 및 생물학적 제제 제조업,21101.0,C,제조업,21.0,의료용 물질 및 의약품 제조업,211.0,기초 의약 물질 및 생물학적 제제 제조업,21101.0,의약용 화합물 및 항생물질 제조업,의료용 물질 및 의약품 제조업,IC = (A61P* or C07D* or C07J* or C07K* or C12N* or C12P* or C12Q* or C12R* or (A61K* not (A61K-008*)))
C,제조업,24.0,의료용 물질 및 의약품 제조업,242.0,의료용품 및 기타 의약 관련제품 제조업,21300.0,C,제조업,21.0,의료용 물질 및 의약품 제조업,213.0,의료용품 및 기타 의약 관련제품 제조업,21300.0,의료용품 및 기타 의약 관련제품 제조업,의료용 물질 및 의약품 제조업,IC = (A61P* or C07D* or C07J* or C07K* or C12N* or C12P* or C12Q* or C12R* or (A61K* not (A61K-008*)))
C,제조업,24.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",242.0,마그네틱 및 광학 매체 제조업,26600.0,C,제조업,26.0,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",266.0,마그네틱 및 광학 매체 제조업,26600.0,마그네틱 및 광학 매체 제조업,마그네틱 및 광학 매체 제조업,IC = (G11B*)
C,제조업,24.0,화학 물질 및 화학제품 제조업; 의약품 제외,243.0,화학섬유 제조업,20501.0,C,제조업,20.0,화학물질 및 화학제품 제조업; 의약품 제외,205.0,화학섬유 제조업,20501.0,합성섬유 제조업,화학섬유 제조업,IC = (D01C* or D01D* or D01F*)
C,제조업,25.0,고무 및 플라스틱제품 제조업,251.0,고무제품 제조업,22111.0,C,제조업,22.0,고무 및 플라스틱제품 제조업,221.0,고무제품 제조업,22111.0,타이어 및 튜브 제조업,고무제품 및 플라스틱 제품 제조업,IC = (B29B* or B29C* or B29D* or B29K* or B29L* or A42B-003* or B60C* or B65D* or B67D* or C08C* or F16L*)
C,제조업,25.0,고무 및 플라스틱제품 제조업,252.0,플라스틱 제품 제조업,22211.0,C,제조업,22.0,고무 및 플라스틱제품 제조업,222.0,플라스틱 제품 제조업,22211.0,"플라스틱 선, 봉, 관 및 호스 제조업",고무제품 및 플라스틱 제품 제조업,IC = (B29B* or B29C* or B29D* or B29K* or B29L* or A42B-003* or B60C* or B65D* or B67D* or C08C* or F16L*)
C,제조업,26.0,비금속 광물제품 제조업,261.0,유리 및 유리제품 제조업,23111.0,C,제조업,23.0,비금속 광물제품 제조업,231.0,유리 및 유리제품 제조업,23110.0,판유리 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,26.0,비금속 광물제품 제조업,269.0,"내화, 비내화 요업제품 제조업",23221.0,C,제조업,23.0,비금속 광물제품 제조업,232.0,"내화, 비내화 요업제품 제조업",23211.0,가정용 및 장식용 도자기 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,26.0,비금속 광물제품 제조업,269.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",23311.0,C,제조업,23.0,비금속 광물제품 제조업,233.0,"시멘트, 석회, 플라스터 및 그 제품 제조업",23311.0,시멘트 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,26.0,비금속 광물제품 제조업,269.0,기타 비금속 광물제품 제조업,23911.0,C,제조업,23.0,비금속 광물제품 제조업,239.0,기타 비금속 광물제품 제조업,23911.0,건설용 석제품 제조업,비금속광물제품 제조업,IC = (A47K* or B24D* or B28B* or B28C* or B28D* or B32B* or C01B* or C03B* or C03C* or C04B* or E03D* or E04B* or E04C* or E04D* or E04F*)
C,제조업,27.0,1차 금속 제조업,271.0,1차 철강 제조업,24111.0,C,제조업,24.0,1차 금속 제조업,241.0,1차 철강 제조업,24111.0,제철업,1차 철강제조업,IC = (B21C* or C21B* or C21C* or C21D* or C22C* or F16S* or F17C*)
C,제조업,27.0,1차 금속 제조업,272.0,1차 비철금속 제조업,24219.0,C,제조업,24.0,1차 금속 제조업,242.0,1차 비철금속 제조업,24219.0,"기타 비철금속 제련, 정련 및 합금 제조업",1차 비철금속 제조업,IC = (C22F* or C25C* or (G21H* not (G21H-001*)))
C,제조업,27.0,1차 금속 제조업,273.0,금속 주조업,24311.0,C,제조업,24.0,1차 금속 제조업,243.0,금속 주조업,24311.0,선철주물 주조업,금속주조업,IC = (B22D*)
C,제조업,28.0,금속 가공제품 제조업; 기계 및 가구 제외,281.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",25111.0,C,제조업,25.0,금속가공제품 제조업; 기계 및 가구 제외,251.0,"구조용 금속제품, 탱크 및 증기발생기 제조업",25111.0,"금속 문, 창, 셔터 및 관련 제품 제조업","구조용 금속제품, 탱크, 증기발생기 제조업",IC = (A47H* or B21G* or F16T* or F17B* or F22B* or F22G* or F24D* or F24H* or G21B* or G21C* or G21D*)
C,제조업,28.0,금속 가공제품 제조업; 기계 및 가구 제외,281.0,기타 금속 가공제품 제조업,25999.0,C,제조업,25.0,금속가공제품 제조업; 기계 및 가구 제외,259.0,기타 금속 가공제품 제조업,25941.0,금속파스너 및 나사제품 제조업,기타 금속가공 제품 제조업,IC = (A01L* or A44B-011* or B21D* or B21F* or B21H* or B21J* or B21K* or B21L* or B22F* or B23B* or B23C* or B23D* or B23G* or B23H* or B25B* or B25C* or B25F* or B25G* or B25H* or B26B* or B26F* or B27B* or B27G* or C23D* or C25D* or E05D* or E05G* or F16B*)
